"transactions_id","sale_date","sale_time","customer_id","gender","age","category","quantity","price_per_unit","cogs","total_sale"
1484,"2022-11-23","09:29:00",22,"Female",19,"Clothing",4,300.0,147.0,1200.0
64,"2022-11-15","06:34:00",7,"Male",49,"Clothing",4,25.0,8.5,100.0
284,"2022-11-12","09:17:00",129,"Male",43,"Clothing",4,50.0,20.5,200.0
1885,"2022-11-09","07:32:00",148,"Female",52,"Clothing",4,30.0,10.8,120.0
547,"2022-11-14","07:36:00",3,"Male",63,"Clothing",4,500.0,250.0,2000.0
159,"2022-11-10","21:30:00",42,"Male",26,"Clothing",4,50.0,23.5,200.0
699,"2022-11-21","22:21:00",129,"Female",37,"Clothing",4,30.0,16.2,120.0
1259,"2022-11-03","17:31:00",105,"Female",45,"Clothing",4,50.0,21.0,200.0
146,"2022-11-10","22:01:00",74,"Male",38,"Clothing",4,50.0,49.0,200.0
1476,"2022-11-11","22:27:00",130,"Female",27,"Clothing",4,500.0,555.0,2000.0
1296,"2022-11-26","20:42:00",45,"Female",22,"Clothing",4,300.0,342.0,1200.0
1696,"2022-11-21","17:59:00",24,"Female",50,"Clothing",4,50.0,55.0,200.0
1497,"2022-11-19","21:44:00",109,"Male",41,"Clothing",4,30.0,32.4,120.0
735,"2022-11-26","21:38:00",153,"Female",64,"Clothing",4,500.0,515.0,2000.0
943,"2022-11-05","19:29:00",90,"Female",57,"Clothing",4,300.0,318.0,1200.0
965,"2022-11-27","21:45:00",84,"Male",22,"Clothing",4,50.0,13.0,200.0
1615,"2022-11-17","13:43:00",82,"Female",61,"Clothing",4,25.0,13.5,100.0
